	LL-score	MWE-ru accented	Translation	Examples	Translation
1	131123	мо́жет быть	maybe	Может быть, она поэтому так хорошо выглядят?	Maybe that's why she looks so good?
2	65998	а та́кже	and also	Это позволило бы более эффективно распределять общественные ресурсы, а также бороться с коррупцией.	This would allow for a more effective way of allocating public resources and also for tackling corruption.
3	53635	во вре́мя	during	Твоя жена очень похудела во время отпуска.	Your wife lost a lot of weight during the holiday.
4	48238	до сих пор	until now	Почему ты до сих пор молчал?	Why have you been silent until now?
5	41760	не то́лько	not only	Он не только сочиняет, но сам и поет свои песни.	He's not only a composer, but he also sings his own songs.
6	39100	друг дру́га	one another, each other	А, так вы уже друг друга знаете!	Ah, so you already know one another!
7	34351	е́сли бы	if	Интересно, что бы сказала моя мама, если бы узнала, что я курю.	I wonder what my mum would say if she knew that I smoked.
8	34295	со стороны́	from the side, from the perspective	Вы только посмотрите на себя со стороны: ботинки не чищены, волосы не причесаны, галстуки мятые.	Just look at yourself from someone else's perspective: your shoes are dirty, your hair is messy and your ties are creased.
9	32425	с по́мощью	with the help	Я даже перевел с помощью словаря две статьи с французского и немецкого языков.	I even translated, with the help of a dictionary, two articles from French to German.
10	31614	хотя́ бы	even	Мяса хотелось до беспамятства, но я не решался попробовать хотя бы кусочек.	I really wanted to have some meat, but I didn't dare try even a small piece.
11	31540	вряд ли	unlikely	От моей болезни у вас вряд ли есть лекарство.	You're unlikely to have medicine for my illness.
12	29742	в тече́ние	during, for	В течение трех лет он страдал от головных болей.	He suffered from head pain for three years.
13	29403	не ме́нее	no less, a minimum	Для этого нужно учиться не менее трех лет.	For this you need to study for a minimum of three years.
14	29044	в ка́честве	in the capacity, as	Ее пригласили в качестве переводчика.	She was invited in the capacity of a translator.
15	26991	по по́воду	due to, because, about	Врача вызвали к пациентке по поводу острых болей.	The doctor was called to the patient because she was experiencing acute pains.
16	26620	лет наза́д	years ago	Эта башня выстроена более двух тысяч лет назад.	This tower was built over two thousand years ago.
17	23023	по кра́йней ме́ре	at least	Она могла бегло говорить по крайней мере на девяти языках.	She could speak at least ten languages fluently.
18	21311	как пра́вило	as a rule	Как правило, это делают в первой половине октября.	As a rule, this is done in the first half of October.
19	21045	за счёт	at the expense	Он живет за мой счет.	He's living at my expense.
20	20257	по отноше́нию к	in relation to, towards, in comparison with, against	Они вели себя не совсем корректно по отношению к пассажирам./ Туроператоры связывают это с ростом курса евро по отношению к доллару.	They didn't behave as appropriately as they should have towards the passengers. / Tour operators link this to the rise of the euro against the dollar.
21	19819	на са́мом де́ле	in actual fact	Что же там происходит на самом деле?	What in actual fact is happening there?
22	19038	в о́бщем	in general	Эти языки, в общем, очень похожи друг на друга.	These languages are, in general, very similar to each other.
23	18736	до́лжен быть	should be	Ваш наряд не должен быть слишком ярким.	Your dress shouldn't be too bright.
24	18574	после́днее вре́мя	recently	Что тут нового произошло за последнее время?	Has anything new happened here recently?
25	17231	во́все не	far from, not at all, by no means	Страх перед врачом вовсе не редкость.	Fear of doctors is by no means uncommon.
26	16166	по сравне́нию с	compared to, in comparison to	Так гораздо экономичнее по сравнению с тем, как это делалось раньше.	So much more economical in comparison to how it was done before.
27	16013	в це́лом	on the whole	В целом он остался доволен.	On the whole he was satisfied.
28	15811	в результа́те	as a result	В результате обыска в руки следствия попало немало важных документов.	As a result of the search detectives found many important documents.
29	14975	как раз	just	А мы как раз обедаем.	We're just having lunch.
30	14718	в ви́де	in the form	У них длинные зеленоватые волосы, темная кожа, ступни в виде плавников.	They have long greenish hair, dark skin and feet in the form of fins.
31	14654	в ра́мках	in the framework, in the programme	Также в рамках фестиваля состоялись два балетных спектакля.	Two ballet performances were also in the programme of the festival.
32	14352	к сожале́нию	unfortunately	В последние годы он, к сожалению, не поддерживал свою спортивную форму.	In recent years he has unfortunately lost his form.
33	14082	ни ра́зу	never, not once	Я там ни разу не был.	I have never been there.
34	13841	в ча́стности	in particular	Он, в частности, говорил о методах генной терапии.	He spoke, in particular, about methods of gene therapy.
35	13609	пре́жде чем	before	Он немало колебался, прежде чем принять решение.	He hesitated somewhat before making a decision.
36	13017	как бу́дто	as if	Он выглядел так, как будто у него болел зуб.	He looked as if he had toothache.
37	12316	в отноше́нии	with respect, for	У нее далеко идущие планы в отношении этого юноши.	She has far-reaching plans for this boy.
38	12073	пожа́л плеча́ми	shrug one's shoulders	Он удивленно пожал плечами и пошел дальше по своим делам.	He shrugged his shoulders in surprise and carried on with his business.
39	11825	гла́вным о́бразом	chiefly, mainly	Мне нравятся главным образом художники 50-60-х годов.	I mainly like artists from the 50s and 60s.
40	11617	при по́мощи	with the help	Путь туда был слишком рискованным, поэтому я  решил ограничиться фотографированием скалы при помощи телеобъектива.	Th road there was too dangerous, so I decided to make do with taking photos of the cliff with a telephoto lens.
41	11483	покача́ть голово́й	shake one's head	Он отрицательно покачал головой.	He shook his head.
42	11324	це́нные бума́ги	securities	Особенно велико отставание европейцев в сфере корпоративных ценных бумаг.	Europeans are lagging behind, particularly in the area of corporate securities.
43	11031	в соотве́тствии с	in accordance with	Предприятие  работает в соответствии с мировыми стандартами качества.	The company operates in accordance with international quality standards.
